
4.21
開ける　ひらける　扩展、扩开
勉強する　べんきょうする　勤奋、努力学习
誘う　さそう　邀请、引诱
書く　かく　书写
探す　さがす　寻找
予約　よやく　预约
捜索　そうさく　搜索
記録　きろく　记录
選択｜洗濯　せんたく　选择|洗
叩き切る　たたききる　猛砍
踊る　おどる　跳舞
翻訳　ほんやく　翻译
決める　きめる　决定
寝る　ねる　睡觉、躺下(二类)
学ぶ　まなぶ　学习

4.28
思う　おもう　想着
飛ばす　とばす　疾驰、飞奔
舐める　なめる　舔
噛む　かむ　咬
聞こえる　きこえる　听见、听起来
抜く　ぬく　拔(草)
着る　きる　穿(衣服)
破る　やぶる　破坏
降りる　おりる　下降
疑う　うたがう　怀疑
持つ　もつ　拿着
運ぶ　はこぶ　搬运
忘れる　わすれる　忘记
生きる　いきる　活着
引っ張る　ひっぱる　牵着、拖、拉拽

5.5
捲る　めくる　翻开、掀起
充電　じゅうでん　充电
超える　こえる　超越
出す　だす　拿出、发表
整理　せいり　整理
燃える　もえる　燃烧、热情洋溢
決算　けっさん　结算、结账
計算　けいさん　计算
結婚　けっこん　结婚
出かける　でかける　出门
貰う　もらう　收下
潰す　つぶす　击溃
指す　さす　指向
ぶつかる　碰撞、冲突
閉じる　とじる　关上

5.12
積もる　つもる　积累、堆积
光る　ひかる　发光
浮かぶ　うかぶ　漂浮、想起
泳ぐ　およぐ　游泳
持ち上げる　もちあげる　举起
守る　まもる　保护、守护
抑える　おさえる　压制、抑制、控制、阻止
屈む　かがむ　蹲下、弯下腰去
溺れる　おぼれる　溺水
立つ　たつ　站起来
焼ける　やける　燃烧
騙す　だます　欺骗
育つ　そだつ　养育、培养
闘う　たたかう　战斗
打つ　うつ　击打

5.19
抱きしめる　だきしめる　拥抱
見つける　みつける　找到
踠く　もがく　挣扎
離す　はなす　离开、分开、放开
微笑む　ほほえむ　微笑
叫ぶ　さけぶ　喊叫
教える　おしえる　教育、告诉
近づく　ちかづく　接近
頼る　たよる　依赖、依靠
釣る　つる　钓(鱼)
爆発　ばくはつ　爆炸
嗅ぐ　かぐ　嗅、闻
握る　にぎる　握住、抓
封じる　ふうじる　封锁
暴れる　あばれる　胡闹、大肆活跃、勇敢地行动

5.26
なぞる　临摹
話す　はなす　说
煮る　にる　煮
描く　えがく　描绘
届く　とどく　传达
重なる　かさなる　重叠
溶かす　とかす　溶解
追う　おう　追击
作る　つくる　制作
去る　さる　去、离开
輝く　かがやく　发光、闪耀
続く　つづく　继续、待续
増える　ふえる　增加
減らす　へらす　减少
投げる　なげる　扔、投

6.2
勝つ　かつ　获胜
待つ　まつ　等待
検索　けんさく　搜索、检索
伸びる　のびる　伸长
畳む　たたむ　折叠
縮む　ちぢむ　缩小
飲む　のむ　喝
褒める　ほめる　表扬、赞扬
咲く　さく　开(花)
慣れる　なれる　习惯
消す　けす　抹除
消える　きえる　消失
洗う　あらう　洗
買う　かう　买
伝える　つたえる 传达

6.9
殴る　なぐる　殴打
真似る　まねる　模仿
濡れる　ぬれる　淋湿、湿润、偷情
動く　うごく　移动、行动
晴れる　はれる　放晴、(疑虑)消除
読む　よむ　阅读
抜かす　ぬかす　忘记、漏掉、跳过间隔、泄气(没有了劲头)、胡扯(多用于嘲讽他人)
震える ふるえる　(大地)震动、(身体)颤动、发抖
揺る　ゆる　摇动、摇曳
張り付く　はりつく　粘上、贴上、缠着
縛る　しばる　捆、绑
写す　うつす　抄、拍照、描写
集める　あつめる　集合、收集、集中
隠す　かくす　隐藏、躲藏、遮掩、掩饰
登る　のぼる　攀登、上

6.16
絞る　しぼる　挤、拧(抹布)、扎起(把对象缩小)、调低(音量等)
失う　うしなう　迷失、失常、失去
争う　あらそう　抵抗、不顺从、争执、争论
抗う　あらがう　意思同　争う
答える　こたえる　回答、回应
求める　もとめる　寻求、渴望、渴求
灯す　ともす　点亮、点燃、照亮
対応する たいおうする　对付、相对
遅れる　おくれる　迟到、晚了
遅刻　ちこく　迟到
地獄　じごく　地狱
繋ぐ　つなぐ　连接、绑、系、囚禁、拘禁
触れる　ふれる　触碰
替わる　かわる　替换、更换、交替
代わる　かわる　代替、取代、代理
踏む　ふむ　踩、踏、遵守、经历
窶れる　やつれる　憔悴、消瘦、落魄

6.23
逆らう さからう　逆反
凍る|氷る　こおる　冰冻
歩く　あるく　走、步行
奪う　うばう　抢夺、夺取
呆ける　ぼける　发呆
放す　はなす　放开
盗む　ぬすむ　偷
願う　ねがう　祈愿、希望
起きる　おきる　起来、睡醒
過す　すごす　度过
悔やむ　くやむ　后悔
感じる　かんじる　感知、感受到
入る　はいる　进入
覚える　おぼえる　记住、学会、感觉
(遭う|会う)|合う　あう　碰到、遭遇|合而为一、聚、合

6.30
及ぶ　およぶ　到达、匹敌、赶得上
呼ぶ　よぶ　喊来、当做客人的招待、叫对方
応じる　おうじる　接受、回答、适应
漕ぐ　こぐ　划、摇(船桨)、用手拨开(雪堆、草丛等)前进
急ぐ　いそぐ　快、加快、赶紧、着急
見る　みる　看(二类)
出る　でる　出去、离开(二类)
誓う　ちかう　发誓
違う　ちがう　不一样、违背、差别、不对
放つ　はなつ　流放、放走、发射、发出、派出
逃す　にがす　放跑、错过、漏掉
言い切る　いいきる　断言
終わる　おわる　结束、死亡、做完
飢える|餓える　うえる　饥饿、渴望
植える　うえる　种植、培育
撫でる　なでる　抚摸、梳头
押す　おす　按、压、推开、坚持、贯彻、(意见等)强加于人

7.7
防ぐ　ふせぐ　防止
拾う　ひろう　捡、拾、挑出、拣出
捨てる　すてる　丢弃、置之不理
浴びる　あびる　淋、沐浴、照、洒
使う　つかう　使用
調べる　しらべる　调查、查阅
困る　こまる　困扰、为难、苦恼、困苦
見当たる　みあたる　看见、看到、找到
戻る　もどる　恢复、返回
触る　さわる　触摸、接触
揉む　もむ　揉、搓、按摩
考える　かんがえる　考虑、觉得、计划
進む　すすむ　前进、进展顺利、(事物的程度)提高、(地位、级别等)上升
潜る　もぐる|くぐる　潜水、穿过、渡过
驚かす　おどろかす　惊动、惊讶、惊奇、使害怕、吓唬
脅かす　おどかす　威胁、威逼、使惊讶

7.14
訪れる　おとずれる　(季节或某种状态)到来，来临、拜访、访问
落ちる　おちる　落下、掉下来、陷落
落とす　おとす　淘汰、落选、使落下、攻陷
欠ける　かける　欠缺、缺口
断る　ことわる　拒绝、事先打招呼、预告
助ける　たすける　帮助
溢れる　あふれる　溢出、泛滥
暮れる　くれる　天黑、日暮、年终、即将结束、不知如何是好
付き合う　つきあう　交际、交往、陪伴
攻める　せめる　攻打、进攻
責める　せめる　责备、拷打、苛责、催逼
流す　ながす　流走、冲走、传播、扩散
諦める　あきらめる　放弃、死心
刺さる　ささる　扎、刺入
捧ぐ　ささぐ　奉献、贡献

7.21
構う　かまう　照顾、照料、调戏、理会、干预
成る　なる　成为、做好、完成
住む　すむ　居住
棲む|栖む　すむ　栖息
送る　おくる　送、送行
贈る　おくる　赠送
刻む　きざむ　雕、刻、切碎、铭记
昇る|上る　のぼる　上升、升级、升高
沈む　しずむ　下沉、沦落、输、消沉、降、落
認める　みとめる　认可、承认、准许
叱る　しかる　责备、批评、斥责
騒ぐ　さわぐ　吵闹、骚动、慌张、热烈议论
赴く　おもむく　奔赴、前往、倾向
座る|坐る　すわる　坐、跪坐、占据席位
据わる　すわる　安定不动、镇定、沉着

7.28
束ねる　たばねる|つかねる　捆、束、统率
謝る　あやまる　道歉、赔礼、认输、辞退
拘る　こだわる　拘泥、抵触、特别在意、妨碍
締める　しめる　勒紧、系紧、节约
訪ねる　たずねる　访问、拜访
交わる　まじわる　交往、交际、交叉、混杂、性交
辞める　やめる　退职、辞职、辞任
止める　やめる　停止、止住、禁止(二类)
止める　とめる　停、止、让...停止(二类)
止める　とどめる　停下、止住、阻止住，同留める(一类)
太る|肥る　ふとる　发福、肥、增加、发财
習う　ならう　学习、练习
倣う　ならう　仿照、效仿、学习、习惯、熟习
傷つく　きずつく　受伤、受到创伤
行う　おこなう　办、干、实行、进行
異なる　ことなる　不一样、不同
分かる　わかる　知道、理解、判明、通情达理

8.4
吹く　ふく　吹、草木发芽、发霉、风吹
含む　ふくむ|くくむ　含有、包含、牢记在心
吸う　すう　吸
憧れる　あこがれる　憧憬、向往
明ける　あける　天亮、天明、过年、结束、满期
曲がる　まがる　弯曲、转弯、倾斜
回る　まわる　旋转、绕道
売る　うる　卖、销售、出卖、背叛
掴む　つかむ　抓住、(对事情的重点)深刻理解
染める　そめる　染上、涂色、脸红、着手
宿る　やどる　寄宿、寄居
飲み込む　のみこむ　吞下、理解、领会、吞噬
渡る　わたる　渡过、度日、转手、转让、普及
借りる　かりる　借用、租、求助、得到帮助
貸す　かす　借出、提供帮助

8.11
迷う　まよう　犹豫、难以决定、迷失
閉める　しめる　关上、关闭、停业、堵住
留める　とめる　留下、扣留、固定、阻拦
留める　とどめる　停留、停住、驻扎
別れる　わかれる　离别、分手、死别、分散
申す　もうす　说、讲、告诉
